Year,Royal Rumble,Venue,City,State,Country,Attendance,Royal Rumble Match,Winner,Winner's Number,Last Elimination,Total Royal Rumble Wins,Number of Eliminations Made,Match Length
1988,Royal Rumble,Copps Coliseum,Hamilton,Ontario,Canada,"18,000",1st,Jim Duggan,13,One Man Gang,1,3,00:33:00
1989,Royal Rumble,The Summit,Houston,Texas,United States,"19,000",2nd,Big John Studd,27,Ted DiBiase,1,2,01:04:53
1990,Royal Rumble,Orlando Arena,Orlando,Florida,United States,"18,000",3rd,Hulk Hogan,25,Mr. Perfect,1,6,00:58:46
1991,Royal Rumble,Miami Arena,Miami,Florida,United States,"16,000",4th,Hulk Hogan,24,Earthquake,2,7,01:05:17
1992,Royal Rumble,Knickerbocker Arena,Albany,New York,United States,"17,000",5th,Ric Flair,3,Sid Justice,1,5,01:02:00
1993,Royal Rumble,ARCO Arena,Sacramento,California,United States,"16,000",6th,Yokozuna,27,Randy Savage,1,7,01:06:35
1994,Royal Rumble,Providence Civic Center,Providence,Rhode Island,United States,"14,500",7th,Bret Hart & Lex Luger,27,Shawn Michaels,1,10,00:55:08
1995,Royal Rumble,USF Sun Dome,Tampa,Florida,United States,"10,000",8th,Shawn Michaels,1,The British Bulldog,1,8,00:38:41
1996,Royal Rumble,Selland Arena,Fresno,California,United States,"9,600",9th,Shawn Michaels,18,Diesel,2,8,00:58:49
1997,Royal Rumble,Alamodome,San Antonio,Texas,United States,"60,477",10th,Stone Cold Steve Austin,5,Bret Hart,1,10,00:50:29
1998,Royal Rumble,San Jose Arena,San Jose,California,United States,"18,542",11th,Stone Cold Steve Austin,24,The Rock,2,7,00:55:25
1999,Royal Rumble,Arrowhead Pond,Anaheim,California,United States,"14,816",12th,Mr. McMahon,2,Stone Cold Steve Austin,1,1,00:56:38
2000,Royal Rumble,Madison Square Garden,New York City,New York,United States,"19,231",13th,The Rock,24,Big Show,1,4,00:51:54
2001,Royal Rumble,New Orleans Arena,New Orleans,Louisana ,United States,"17,137",14th,Stone Cold Steve Austin,27,Kane,3,3,01:01:55
2002,Royal Rumble,Philips Arena,Atlanta,Georgia,United States,"16,106",15th,Triple H,22,Kurt Angle,1,4,01:09:22
2003,Royal Rumble,FleetCenter (currently known as TD Garden),Boston ,Massachusetts,United States,"15,338",16th,Brock Lesnar,29,The Undertaker,1,4,00:53:41
2004,Royal Rumble,Wachovia Center (currently known as Wells Fargo Center),Philadelphia,Pennsylvania,United States,"17,289",17th,Chris Benoit,1,Big Show,1,6,01:01:35
2005,Royal Rumble,Save Mart Center,Fresno,California,United States,"12,000",18th,Batista,28,John Cena,1,5,00:51:07
2006,Royal Rumble,American Airlines Arena,Miami,Florida,United States,"16,000",19th,Rey Mysterio,2,Randy Orton,1,6,01:02:12
2007,Royal Rumble,AT&T Center,San Antonio,Texas,United States,"13,500",20th,Undertaker ,30,Shawn Michaels,1,3,00:56:18
2008,Royal Rumble,Madison Square Garden,New York City,New York,United States,"20,798",21st,John Cena,30,Triple H,1,4,00:51:26
2009,Royal Rumble,Joe Louis Arena,Detroit,Michigan,United States,"16,685",22nd,Randy Orton,8,Triple H,1,3,00:58:40
2010,Royal Rumble,Philips Arena,Atlanta,Georgia,United States,"16,697",23rd,Edge,29,John Cena,1,2,00:49:24
2011,Royal Rumble,TD Garden,Boston ,Massachusetts,United States,"15,113",24th,Alberto Del Rio,38,Santino Marella,1,2,01:09:49
2012,Royal Rumble,Scottrade Center,St. Louis,Missouri,United States,"18,121",25th,Sheamus,22,Chris Jericho,1,3,00:54:55
2013,Royal Rumble,US Airways Center,Phoenix,Arizona,United States,"15,103",26th,John Cena,19,Ryback,2,4,00:55:05
2014,Royal Rumble,Consol Energy Center,Pittsburgh,Pennsylvania,United States,"15,715",27th,Batista,28,Roman Reigns,2,4,00:55:07
2015,Royal Rumble,Wells Fargo Center,Philadelphia,Pennsylvania,United States,"17,164",28th,Roman Reigns,19,Rusev,1,6,00:59:31
2016,Royal Rumble,Amway Center,Orlando,Florida,United States,"15,170",29th,Triple H,30,Dean Ambrose,2,4,01:01:42
2017,Royal Rumble,Alamodome,San Antonio,Texas,United States,"52,020",30th,Randy Orton,23,Roman Reigns,2,1,01:02:06
